11, 2, 4		3		Passed	


	12, 6, 4		2		Passed	


	20, 3, 7		1		Passed	


	21, 7, 3		2		Passed	


	15, 16, 5		1		Passed	


	1000, 3, 7		48		Passed	


	1000, 7, 3		48		Passed	


	7872, 286, 64		1		Passed	


	17306, 139, 42		3		Passed	


	22207, 279, 86		1		Passed	


	31216, 912, 77		1		Passed	


	44450, 25, 27		66		Passed	


	50310, 3, 33		1525		Passed	


	68852, 172, 27		15		Passed	


	70175, 499, 82		2		Passed	


	87668, 819, 81		12		Passed	


	98020, 977, 28		4		Passed	


	103970, 534, 91		3		Passed	


	116737, 387, 25		13		Passed	


	126533, 462, 24		69		Passed	


	139739, 890, 93		2		Passed	


	141638, 102, 38		74		Passed	


	150112, 644, 26		18		Passed	


	168301, 60, 91		31		Passed	


	175599, 736, 7		35		Passed	


	186508, 537, 25		14		Passed	


	196965, 770, 52		10		Passed	


	203658, 459, 29		16		Passed	


	212006, 320, 10		663		Passed	


	220831, 980, 80		57		Passed	


	233971, 313, 94		8		Passed	


	242959, 117, 72		260		Passed	


	254069, 47, 46		118		Passed	


	266189, 595, 79		6		Passed	


	270824, 388, 95		8		Passed	


	288285, 606, 36		80		Passed	


	291959, 124, 61		39		Passed	


	308550, 620, 28		72		Passed	


	310109, 850, 26		29		Passed	


	328657, 98, 86		78		Passed	


	336738, 810, 14		60		Passed	


	348301, 131, 78		35		Passed	


	356116, 325, 51		22		Passed	


	364757, 319, 51		23		Passed	


	372894, 762, 24		123		Passed	


	387992, 247, 100		16		Passed	


	396711, 804, 83		6		Passed	


	408058, 327, 83		16		Passed	


	415448, 289, 93		16		Passed	


	428714, 275, 27		58		Passed	


	431027, 73, 68		87		Passed	


	440817, 675, 98		7		Passed	


	455523, 579, 70		12		Passed	


	463439, 197, 76		31		Passed	


	476703, 824, 67		9		Passed	


	486475, 646, 2		754		Passed	


	496412, 578, 92		19		Passed	


	508990, 78, 90		436		Passed	


	517569, 55, 509		19		Passed	


	527327, 81, 327		60		Passed	


	531784, 55, 329		30		Passed	


	546447, 59, 608		16		Passed	


	558890, 3, 933		600		Passed	


	565227, 31, 172		107		Passed	


	572565, 28, 692		119		Passed	


	587437, 49, 594		21		Passed	


	598465, 2, 873		343		Passed	


	608562, 49, 386		33		Passed	


	618186, 39, 502		32		Passed	


	621989, 27, 904		26		Passed	


	638644, 59, 506		22		Passed	


	649302, 63, 663		47		Passed	


	659709, 7, 11		8568		Passed	


	660314, 40, 812		82		Passed	


	673601, 61, 85		130		Passed	


	681181, 17, 479		84		Passed	


	692402, 42, 712		47		Passed	


	709292, 4, 348		2039		Passed	


	710104, 3, 154		1538		Passed	


	729917, 13, 341		165		Passed	


	734539, 95, 428		19		Passed	


	744435, 90, 743		12		Passed	


	756509, 60, 339		112		Passed	


	760805, 80, 994		20		Passed	


	772319, 33, 440		586		Passed	


	784781, 85, 288		33		Passed	


	796478, 14, 345		165		Passed	


	801670, 45, 293		61		Passed	


	815867, 51, 99		485		Passed	


	822467, 9, 688		133		Passed	


	835003, 29, 696		1200		Passed	


	840738, 31, 737		37		Passed	


	857463, 32, 118		455		Passed	


	867877, 49, 573		31		Passed	


	875741, 98, 638		29		Passed	


	883104, 90, 881		12		Passed	


	899002, 11, 936		88		Passed	


	906502, 86, 315		34		Passed	


	918346, 53, 573		31		Passed	


	926058, 23, 76		530		Passed	


	10, 2, 2		6		Passed	


	10, 1, 1		11		Passed	


	1000, 1, 1		1001		Passed	


	4, 3, 2		1		Passed	


	1000000, 1, 1		1000001		Passed	
